ChannelPartnerID,Region
10568,North
10569,South
10570,East
10571,South
10572,East
10573,East
10574,West
10575,East
10576,South
10577,West
10578,South
10579,North
10580,West
10581,West
10582,North
10583,East
10584,East
10585,East
10586,South
10587,East
10588,East
10589,North
10590,East
10591,North
10592,East
10593,West
10594,West
10595,West
10596,South
10597,West
10598,South
10599,East
10600,West
10601,West
10602,West
10603,North
10604,North
10605,South
10606,South
10607,West
10608,West
10609,West
10610,West
10611,North
10612,West
10613,North
10614,East
10615,East
10616,West
10617,West
10618,North
10619,North
10620,North
10621,South
10622,South
10623,West
10624,South
10625,South
10626,South
10627,North
10628,North
10629,East
10630,West
10631,West
10632,West
10633,South
10634,South
10635,East
10636,East
10637,South
10638,West
10639,South
10640,North
10641,West
10642,East
10643,North
10644,West
10645,North
10646,West
10647,South
10648,North
10649,East
10650,East
10651,East
10652,West
10653,East
10654,East
10655,East
10656,North
10657,East
10658,West
10659,West
10660,North
10661,East
10662,West
10663,West
10664,South
10665,West
10666,West
10667,East
10668,South
10669,West
10670,West
10671,South
10672,West
10673,North
10674,South
10675,East
10676,East
10677,West
10678,South
10679,North
10680,South
10681,South
10682,West
10683,North
10684,East
10685,South
10686,South
10687,East
10688,East
10689,East
10690,West
10691,South
10692,West
10693,West
10694,South
10695,South
10696,South
10697,South
10698,South
10699,East
10700,North
10701,North
10702,North
10703,East
10704,West
10705,East
10706,North
10707,North
10708,North
10709,South
10710,West
10711,West
10712,East
10713,North
10714,East
10715,West
10716,South
10717,West
10718,North
10719,North
10720,West
10721,East
10722,South
10723,South
10724,South
10725,East
10726,South
10727,West
10728,North
10729,West
10730,West
10731,North
10732,West
10733,East
10734,South
10735,East
10736,North
10737,East
10738,East
10739,South
10740,South
10741,South
10742,North
10743,East
10744,North
10745,South
10746,West
10747,West
10748,South
10749,West
10750,South
10751,West
10752,East
10753,East
10754,East
10755,South
10756,North
10757,East
10758,North
10759,North
10760,North
10761,South
10762,South
10763,North
10764,North
10765,South
10766,West
10767,East
10768,South
10769,North
10770,South
10771,South
10772,West
10773,North
10774,West
10775,West
10776,East
10777,South
10778,East
10779,East
10780,East
10781,South
10782,West
10783,East
10784,North
10785,North
10786,West
10787,East
10788,North
10789,South
10790,West
10791,East
10792,South
10793,West
10794,South
10795,East
10796,South
10797,West
10798,North
10799,West
10800,North
10801,South
10802,East
10803,East
10804,South
10805,East
10806,West
10807,South
10808,South
10809,North
10810,North
10811,South
10812,South
10813,West
10814,South
10815,West
10816,East
10817,East
10818,West
10819,North
10820,South
10821,South
10822,North
10823,South
10824,North
10825,North
10826,South
10827,North
10828,North
10829,North
10830,East
10831,West
10832,West
10833,East
10834,East
10835,East
10836,South
10837,West
10838,South
10839,East
10840,North
10841,West
10842,North
10843,North
10844,North
10845,North
10846,South
10847,South
10848,North
10849,North
10850,East
10851,North
10852,East
10853,East
10854,East
10855,East
10856,West
10857,North
10858,South
10859,East
10860,West
10861,West
10862,South
10863,South
10864,North
10865,North
10866,West
10867,East
10868,North
10869,West
10870,East
10871,West
10872,South
10873,South
10874,East
10875,West
10876,North
10877,West
10878,South
10879,East
10880,West
10881,East
10882,South
10883,North
10884,South
10885,North
10886,East
10887,North
10888,East
10889,East
10890,South
10891,North
10892,North
10893,North
10894,East
10895,South
10896,West
10897,South
10898,South
10899,North
10900,South
10901,East
10902,South
10903,North
10904,South
10905,West
10906,North
10907,West
10908,West
10909,West
10910,West
10911,North
10912,West
10913,South
10914,North
10915,West
10916,South
10917,West
10918,South
10919,East
10920,North
10921,South
10922,West
10923,South
10924,West
10925,East
10926,West
10927,South
10928,North
10929,South
10930,West
10931,South
10932,East
10933,South
10934,East
10935,South
10936,East
10937,South
10938,West
10939,East
10940,West
10941,North
10942,West
10943,East
10944,East
10945,East
10946,North
10947,South
10948,South
10949,North
10950,North
10951,North
10952,West
10953,South
10954,South
10955,South
10956,South
10957,North
10958,South
10959,West
10960,West
10961,South
10962,East
10963,South
10964,West
10965,North
10966,West
10967,West
10968,North
10969,North
10970,South
10971,East
10972,South
10973,South
10974,East
10975,West
10976,North
10977,North
10978,East
10979,South
10980,North
10981,South
10982,North
10983,South
10984,West
10985,South
10986,East
10987,East
10988,North
10989,South
10990,West
10991,North
10992,East
10993,East
10994,North
10995,South
10996,East
10997,North
10998,South
10999,North
11000,South
11001,East
11002,North
11003,South
11004,South
11005,South
11006,North
11007,West
11008,South
11009,East
11010,West
11011,North
11012,East
11013,East
11014,North
11015,East
11016,East
11017,North
11018,South
11019,West
11020,South
11021,West
11022,North
11023,South
11024,South
11025,North
11026,North
11027,West
11028,South
11029,South
11030,South
11031,West
11032,North
11033,North
11034,West
11035,West
11036,North
11037,East
11038,North
11039,North
11040,East
11041,North
11042,North
11043,North
11044,East
11045,West
11046,South
11047,North
11048,West
11049,South
11050,North
11051,North
11052,West
11053,South
11054,East
11055,North
11056,South
11057,South
11058,South
11059,North
11060,North
11061,East
11062,West
11063,East
11064,North
11065,North
11066,East
11067,South
11068,West
11069,North
11070,North
11071,West
11072,South
11073,North
11074,West
11075,West
11076,West
11077,West
11078,North
11079,South
11080,North
11081,West
11082,South
11083,West
11084,North
11085,West
11086,South
11087,West
11088,South
11089,North
11090,East
11091,West
11092,North
11093,West
11094,West
11095,East
11096,North
11097,North
11098,East
11099,North
11100,North
11101,North
11102,South
11103,South
11104,South
11105,South
11106,West
11107,West
11108,West
11109,West
11110,South
11111,South
11112,South
11113,North
11114,West
11115,East
11116,North
11117,East
11118,West
11119,South
11120,West
11121,South
11122,North
11123,East
11124,North
11125,West
11126,East
11127,West
11128,East
11129,South
11130,South
11131,North
11132,West
11133,West
11134,East
11135,East
11136,East
11137,East
11138,South
11139,South
11140,South
11141,East
11142,West
11143,North
11144,South
11145,East
11146,South
11147,East
11148,North
11149,West
11150,East
11151,North
11152,West
11153,East
11154,West
11155,North
11156,East
11157,North
11158,West
11159,North
11160,South
11161,North
11162,North
11163,South
11164,South
11165,West
11166,West
11167,South
11168,South
11169,South
11170,North
11171,North
11172,North
11173,South
11174,West
11175,North
11176,North
11177,South
11178,East
11179,South
11180,West
11181,North
11182,East
11183,West
11184,West
11185,East
11186,East
11187,North
11188,East
11189,West
11190,East
11191,North
11192,West
11193,North
11194,North
11195,North
11196,North
11197,South
11198,South
11199,East
11200,West
11201,West
11202,West
11203,North
11204,North
11205,South
11206,South
11207,South
11208,East
11209,North
11210,South
11211,South
11212,East
11213,West
11214,West
11215,North
11216,North
11217,West
11218,North
11219,North
11220,West
11221,East
11222,West
11223,West
11224,North
11225,South
11226,North
11227,South
11228,West
11229,North
11230,South
11231,West
11232,South
11233,North
11234,South
11235,South
11236,South
11237,West
11238,South
11239,South
11240,South
11241,West
11242,South
11243,North
11244,North
11245,North
11246,North
11247,North
11248,East
11249,North
11250,West
11251,East
11252,South
11253,East
11254,North
11255,South
11256,South
11257,West
11258,South
11259,West
11260,West
11261,West
11262,West
11263,West
11264,East
11265,North
11266,East
11267,East
11268,South
11269,West
11270,North
11271,North
11272,South
11273,West
11274,South
11275,South
11276,North
11277,East
11278,West
11279,North
11280,South
11281,East
11282,West
11283,North
11284,West
11285,East
11286,West
11287,South
11288,North
11289,East
11290,West
11291,South
11292,West
11293,East
11294,North
11295,West
11296,West
11297,West
11298,West
11299,West
11300,West
11301,North
11302,West
11303,North
11304,West
11305,West
11306,North
11307,East
11308,West
11309,North
11310,North
11311,East
11312,East
11313,West
11314,West
11315,West
11316,West
11317,South
11318,West
11319,East
11320,East
11321,East
11322,East
11323,East
11324,East
11325,North
11326,South
11327,West
11328,North
11329,West
11330,East
11331,North
11332,North
11333,North
11334,East
11335,East
11336,North
11337,West
11338,South
11339,East
11340,North
11341,South
11342,West
11343,South
11344,North
11345,South
11346,North
11347,West
11348,North
11349,East
11350,South
11351,North
11352,South
11353,North
11354,South
11355,South
11356,West
11357,West
11358,West
11359,South
11360,East
11361,West
11362,West
11363,South
11364,East
11365,South
11366,East
11367,South
11368,East
11369,West
11370,North
11371,East
11372,South
11373,East
11374,South
11375,South
11376,West
11377,South
11378,East
11379,West
11380,North
11381,East
11382,East
11383,West
11384,West
11385,North
11386,North
11387,North
11388,East
11389,South
11390,North
11391,North
11392,South
11393,North
11394,West
11395,East
11396,East
11397,South
11398,North
11399,West
11400,South
11401,North
11402,West
11403,West
11404,North
11405,North
11406,West
11407,East
11408,North
11409,East
11410,South
11411,East
11412,East
11413,East
11414,West
11415,East
11416,South
11417,North
11418,West
11419,West
11420,North
11421,West
11422,East
11423,South
11424,North
11425,East
11426,South
11427,East
11428,East
11429,East
11430,South
11431,West
11432,South
11433,West
11434,North
11435,East
11436,West
11437,West
11438,East
11439,North
11440,North
11441,North
11442,East
11443,South
11444,West
11445,East
11446,North
11447,North
11448,South
11449,South
11450,West
11451,South
11452,South
11453,South
11454,West
11455,South
11456,South
11457,South
11458,North
11459,East
11460,South
11461,East
11462,North
11463,South
11464,East
11465,South
11466,South
11467,South
11468,North
11469,South
11470,South
11471,East
11472,West
11473,North
11474,West
11475,East
11476,West
11477,South
11478,West
11479,South
11480,North
11481,South
11482,East
11483,West
11484,South
11485,East
11486,West
11487,East
11488,East
11489,South
11490,East
11491,West
11492,East
11493,North
11494,North
11495,South
11496,East
11497,South
11498,North
11499,East
11500,South
11501,West
11502,East
11503,East
11504,South
11505,West
11506,North
11507,North
11508,East
11509,West
11510,West
11511,West
11512,East
11513,North
11514,South
11515,North
11516,South
11517,South
11518,West
11519,East
11520,West
11521,North
11522,East
11523,North
11524,South
11525,North
11526,North
11527,North
11528,West
11529,West
11530,North
11531,East
11532,North
11533,West
11534,North
11535,East
11536,North
11537,West
11538,South
11539,East
11540,West
11541,South
11542,South
11543,South
11544,West
11545,West
11546,North
11547,West
11548,South
11549,East
11550,South
11551,West
11552,South
11553,West
11554,West
11555,West
11556,East
11557,West
11558,North
11559,North
11560,South
11561,North
11562,West
11563,North
11564,East
11565,South
11566,South
11567,South
11568,East
11569,South
11570,West
11571,South
11572,West
11573,West
11574,West
11575,East
11576,East
11577,West
11578,West
11579,West
11580,West
11581,East
11582,North
11583,East
11584,West
11585,South
11586,West
11587,East
11588,East
11589,South
11590,North
11591,West
11592,North
11593,South
11594,South
11595,North
11596,West
11597,North
11598,East
11599,West
11600,South
11601,North
11602,West
11603,East
11604,West
11605,South
11606,West
11607,North
11608,North
11609,East
11610,North
11611,North
11612,South
11613,West
11614,East
11615,East
11616,West
11617,West
11618,South
11619,East
11620,West
11621,East
11622,South
11623,West
11624,South
11625,West
11626,West
11627,West
11628,South
11629,South
11630,East
11631,North
11632,South
11633,South
11634,East
11635,South
11636,South
11637,North
11638,East
11639,North
11640,East
11641,South
11642,North
11643,West
11644,East
11645,North
11646,South
11647,West
11648,North
11649,North
11650,East
11651,North
11652,West
11653,West
11654,East
11655,East
11656,North
11657,East
11658,North
11659,West
11660,West
11661,North
11662,West
11663,North
11664,West
11665,South
11666,North
11667,West
11668,South
11669,West
11670,West
11671,East
11672,West
11673,South
11674,West
11675,East
11676,North
11677,South
11678,East
11679,South
11680,East
11681,East
11682,South
11683,South
11684,South
11685,North
11686,South
11687,East
11688,South
11689,West
11690,South
11691,North
11692,East
11693,East
11694,West
11695,East
11696,West
11697,North
11698,North
11699,North
11700,West
11701,South
11702,North
11703,East
11704,North
11705,West
11706,North
11707,West
11708,South
11709,East
11710,East
11711,West
11712,North
11713,South
11714,South
11715,East
11716,North
11717,South
11718,North
11719,South
11720,North
11721,East
11722,South
11723,South
11724,East
11725,North
11726,North
11727,South
11728,West
11729,South
11730,North
11731,North
11732,North
11733,East
11734,West
11735,West
11736,East
11737,East
11738,West
11739,East
11740,West
11741,East
11742,East
11743,East
11744,North
11745,South
11746,East
11747,South
11748,West
11749,West
11750,North
11751,North
11752,East
11753,South
11754,South
11755,West
11756,South
11757,East
11758,North
11759,North
11760,East
11761,East
11762,North
11763,North
11764,West
11765,South
11766,West
11767,West
11768,South
11769,North
11770,East
11771,South
11772,West
11773,South
11774,East
11775,East
11776,South
11777,East
11778,West
11779,West
11780,East
11781,South
11782,South
11783,South
11784,West
11785,South
11786,East
11787,East
11788,East
11789,South
11790,South
11791,West
11792,West
11793,West
11794,North
11795,South
11796,East
11797,West
11798,West
11799,North
11800,North
11801,East
11802,West
11803,North
11804,South
11805,North
11806,East
11807,East
11808,West
11809,North
11810,North
11811,North
11812,West
11813,West
11814,West
11815,South
11816,East
11817,West
11818,West
11819,East
11820,East
11821,East
11822,East
11823,North
11824,East
11825,South
11826,South
11827,East
11828,West
11829,West
11830,West
11831,West
11832,West
11833,North
11834,North
11835,South
11836,East
11837,South
11838,West
11839,East
11840,East
11841,South
11842,West
11843,North
11844,West
11845,East
11846,East
11847,East
11848,West
11849,North
11850,North
11851,East
11852,West
11853,North
11854,East
11855,West
11856,North
11857,East
11858,West
11859,West
11860,West
11861,East
11862,South
11863,South
11864,East
11865,West
11866,North
11867,West
11868,East
11869,North
11870,North
11871,East
11872,South
11873,South
11874,West
11875,North
11876,West
11877,North
11878,North
11879,East
11880,South
11881,West
11882,East
11883,North
11884,South
11885,East
11886,South
11887,East
11888,West
11889,West
11890,West
11891,East
11892,West
11893,East
11894,East
11895,South
11896,East
11897,East
11898,West
11899,North
11900,South
11901,East
11902,South
11903,West
11904,West
11905,East
11906,East
11907,South
11908,West
11909,North
11910,West
11911,South
11912,South
11913,East
11914,North
11915,West
11916,West
11917,West
11918,South
11919,South
11920,West
11921,North
11922,East
11923,West
11924,West
11925,North
11926,West
11927,East
11928,East
11929,South
11930,North
11931,South
11932,North
11933,South
11934,West
11935,East
11936,West
11937,West
11938,South
11939,West
11940,South
11941,South
11942,North
11943,South
11944,South
11945,North
11946,West
11947,East
11948,East
11949,West
11950,West
11951,West
11952,West
11953,South
11954,North
11955,West
11956,West
11957,North
11958,North
11959,South
11960,East
11961,East
11962,East
11963,South
11964,North
11965,East
11966,North
11967,West
11968,East
11969,West
11970,North
11971,North
11972,East
11973,South
11974,North
11975,West
11976,North
11977,East
11978,North
11979,West
11980,East
11981,South
11982,West
11983,North
11984,South
11985,East
11986,West
11987,West
11988,North
11989,North
11990,West
11991,North
11992,West
11993,East
11994,South
11995,West
11996,South
11997,West
11998,South
11999,East
12000,East
12001,West
12002,West
12003,East
12004,South
12005,East
12006,North
12007,West
12008,South
12009,West
12010,West
12011,North
12012,North
12013,North
12014,East
12015,North
12016,East
12017,North
12018,East
12019,East
12020,South
12021,North
12022,West
12023,South
12024,North
12025,East
12026,East
12027,North
12028,North
12029,East
12030,North
12031,East
12032,West
12033,East
12034,North
12035,West
12036,West
12037,West
12038,North
12039,North
12040,South
12041,North
12042,West
12043,East
12044,East
12045,South
12046,East
12047,North
12048,North
12049,South
12050,East
12051,East
12052,East
12053,South
12054,South
12055,South
12056,South
12057,West
12058,West
12059,South
12060,South
12061,West
12062,North
12063,East
12064,North
12065,North
12066,West
12067,North
12068,South
12069,East
12070,North
12071,East
12072,West
12073,West
12074,East
12075,South
12076,East
12077,South
12078,West
12079,East
12080,South
12081,East
12082,East
12083,South
12084,West
12085,North
12086,North
12087,South
12088,North
12089,North
12090,West
12091,West
12092,North
12093,West
12094,West
12095,South
12096,North
12097,West
12098,North
12099,South
12100,East
12101,South
12102,West
12103,West
12104,West
12105,North
12106,North
12107,North
12108,North
12109,East
12110,South
12111,East
12112,West
12113,East
12114,North
12115,West
12116,West
12117,West
12118,West
12119,North
12120,South
12121,North
12122,West
12123,North
12124,South
12125,South
12126,East
12127,North
12128,West
12129,North
12130,West
12131,South
12132,North
12133,South
12134,South
12135,North
12136,East
12137,North
12138,East
12139,West
12140,North
12141,South
12142,West
12143,North
12144,North
12145,South
12146,South
12147,South
12148,South
12149,South
12150,East
12151,North
12152,West
12153,South
12154,West
12155,West
12156,South
12157,South
12158,North
12159,East
12160,East
12161,East
12162,North
12163,East
12164,South
12165,West
12166,East
12167,South
12168,East
12169,East
12170,West
12171,North
12172,North
12173,South
12174,North
12175,South
12176,South
12177,North
12178,North
12179,East
12180,West
12181,West
12182,West
12183,North
12184,South
12185,East
12186,West
12187,West
12188,South
12189,East
12190,West
12191,East
12192,East
12193,South
12194,North
12195,North
12196,East
12197,North
12198,South
12199,South
12200,East
12201,North
12202,North
12203,South
12204,North
12205,West
12206,South
12207,South
12208,South
12209,East
12210,West
12211,North
12212,East
12213,East
12214,North
12215,North
12216,West
12217,West
12218,East
12219,North
12220,West
12221,West
12222,South
12223,East
12224,North
12225,West
12226,North
12227,West
12228,West
12229,East
12230,North
12231,South
12232,North
12233,North
12234,East
12235,West
12236,East
12237,East
12238,South
12239,East
12240,West
12241,South
12242,East
12243,South
12244,North
12245,North
12246,West
12247,South
12248,West
12249,West
12250,North
12251,East
12252,East
12253,South
12254,South
12255,West
12256,West
12257,East
12258,North
12259,South
12260,North
12261,East
12262,North
12263,North
12264,North
12265,West
12266,North
12267,West
12268,West
12269,West
12270,South
12271,East
12272,East
12273,South
12274,North
12275,East
12276,West
12277,North
12278,West
12279,West
12280,East
12281,West
12282,South
12283,West
12284,East
12285,East
12286,South
12287,North
12288,East
12289,North
12290,North
12291,East
12292,North
12293,East
12294,South
12295,East
12296,East
12297,South
12298,South
12299,East
12300,South
12301,West
12302,West
12303,East
12304,West
12305,South
12306,South
12307,North
12308,East
12309,North
12310,East
12311,East
12312,West
12313,South
12314,North
12315,North
12316,West
12317,South
12318,South
12319,East
12320,North
12321,West
12322,North
12323,South
12324,North
12325,West
12326,North
12327,North
12328,South
12329,West
12330,North
12331,East
12332,North
12333,South
12334,North
12335,West
12336,East
12337,West
12338,East
12339,South
12340,North
12341,East
12342,South
12343,West
12344,East
12345,South
12346,West
12347,North
12348,South
12349,West
12350,East
12351,South
12352,East
12353,West
12354,South
12355,West
12356,North
12357,South
12358,East
12359,East
12360,East
12361,West
12362,North
12363,South
12364,South
12365,North
12366,West
12367,West
12368,West
12369,West
12370,East
12371,South
12372,South
12373,West
12374,West
12375,North
12376,North
12377,North
12378,South
12379,North
12380,North
12381,South
12382,South
12383,South
12384,East
12385,South
12386,North
12387,West
12388,West
12389,North
12390,South
12391,North
12392,North
12393,West
12394,North
12395,North
12396,North
12397,West
12398,West
12399,South
12400,South
12401,East
12402,South
12403,West
12404,West
12405,West
12406,East
12407,West
12408,South
12409,West
12410,North
12411,South
12412,South
12413,East
12414,South
12415,East
12416,South
12417,North
12418,South
12419,South
12420,West
12421,West
12422,West
12423,West
12424,North
12425,North
12426,East
12427,South
12428,South
12429,North
12430,North
12431,South
12432,West
12433,East
12434,West
12435,East
12436,West
12437,West
12438,South
12439,West
12440,West
12441,West
12442,North
12443,East
12444,East
12445,East
12446,North
12447,East
12448,East
12449,East
12450,East
12451,West
12452,East
12453,North
12454,West
12455,West
12456,East
12457,West
12458,East
12459,East
12460,North
12461,South
12462,North
12463,South
12464,West
12465,North
12466,West
12467,West
12468,East
12469,West
12470,North
12471,West
12472,South
12473,North
12474,North
12475,West
12476,South
12477,South
12478,South
12479,East
12480,South
12481,East
12482,East
12483,East
12484,East
12485,North
12486,West
12487,North
12488,North
12489,North
12490,West
12491,West
12492,West
12493,South
12494,East
12495,West
12496,East
12497,West
12498,North
12499,East
12500,West
12501,West
12502,South
12503,East
12504,East
12505,North
12506,West
12507,South
12508,North
12509,West
12510,West
12511,West
12512,East
12513,East
12514,North
12515,North
12516,South
12517,West
12518,South
12519,West
12520,West
12521,South
12522,West
12523,North
12524,North
12525,South
12526,South
12527,North
12528,East
12529,West
12530,West
12531,West
12532,West
12533,East
12534,South
12535,West
12536,North
12537,East
12538,South
12539,South
12540,North
12541,West
12542,South
12543,West
12544,North
12545,North
12546,West
12547,East
12548,East
12549,West
12550,West
12551,North
12552,West
12553,South
12554,East
12555,East
12556,West
12557,South
12558,South
12559,South
12560,West
12561,North
12562,West
12563,West
12564,West
12565,West
12566,East
12567,East
12568,North
12569,West
12570,East
12571,West
12572,West
12573,North
12574,East
12575,West
12576,East
12577,West
12578,East
12579,South
12580,West
12581,East
12582,North
12583,North
12584,East
12585,South
12586,North
12587,East
12588,East
12589,West
12590,South
12591,South
12592,East
12593,North
12594,North
12595,South
12596,North
12597,East
12598,North
12599,West
12600,West
12601,South
12602,North
12603,South
12604,East
12605,West
12606,South
12607,West
12608,West
12609,East
12610,West
12611,South
12612,West
12613,East
12614,West
12615,South
12616,South
12617,South
12618,West
12619,East
12620,South
12621,North
12622,North
12623,West
12624,East
12625,South
12626,East
12627,East
12628,North
12629,North
12630,West
12631,North
12632,East
12633,South
12634,North
12635,West
12636,West
12637,East
12638,West
12639,South
12640,South
12641,North
12642,South
12643,South
12644,West
12645,West
12646,South
12647,South
12648,West
12649,South
12650,North
12651,West
12652,West
12653,East
12654,North
12655,South
12656,South
12657,South
12658,East
12659,North
12660,North
12661,West
12662,North
12663,South
12664,East
12665,East
12666,West
12667,West
12668,South
12669,West
12670,East
12671,East
12672,North
12673,North
12674,East
12675,East
12676,West
12677,East
12678,East
12679,West
12680,West
12681,South
12682,South
12683,North
12684,South
12685,West
12686,East
12687,North
12688,South
12689,West
12690,West
12691,West
12692,East
12693,East
12694,East
12695,West
12696,East
12697,South
12698,East
12699,North
12700,South
12701,North
12702,South
12703,South
12704,West
12705,East
12706,East
12707,North
12708,North
12709,North
12710,East
12711,East
12712,North
12713,South
12714,West
12715,North
12716,East
12717,West
12718,North
12719,West
12720,South
12721,West
12722,North
12723,South
12724,South
12725,North
12726,West
12727,South
12728,East
12729,West
12730,East
12731,North
12732,East
12733,West
12734,West
12735,East
12736,West
12737,East
12738,West
12739,East
12740,North
12741,North
12742,South
12743,West
12744,South
12745,East
12746,East
12747,West
12748,South
12749,West
12750,South
12751,South
12752,East
12753,North
12754,East
12755,South
12756,South
12757,West
12758,West
12759,East
12760,South
12761,North
12762,West
12763,East
12764,North
12765,West
12766,North
12767,West
12768,West
12769,West
12770,West
12771,West
12772,North
12773,East
12774,North
12775,East
12776,North
12777,North
12778,North
12779,South
12780,South
12781,West
12782,North
12783,North
12784,North
12785,East
12786,North
12787,South
12788,East
12789,East
12790,North
12791,South
12792,West
12793,North
